学号,语文成绩,数学成绩,英语成绩,综合成绩
1,57.5,27.0,68.6,38.2
2,47.9,57.2,54.9,26.1
3,59.7,65.4,53.9,10.7
4,72.8,72.6,52.0,67.4
5,46.5,49.7,44.1,52.2
6,46.5,21.2,37.1,49.2
7,73.7,50.2,55.6,38.9
8,61.5,47.3,42.7,46.1
9,43.0,60.5,74.0,68.4
10,58.1,29.8,53.0,46.0
11,43.0,39.5,51.4,75.2
12,43.0,36.4,25.8,62.7
13,53.6,44.6,22.4,15.2
14,21.3,47.3,47.4,41.4
15,24.1,37.8,29.8,52.9
16,41.6,65.0,57.5,82.6
17,34.8,73.0,60.4,26.8
18,54.7,14.6,60.7,53.5
19,36.4,52.9,34.4,57.9
20,28.8,83.3,45.1,54.3
21,72.0,52.1,45.3,41.5
22,46.6,35.9,55.6,48.7
23,51.0,40.3,58.3,42.8
24,28.6,68.2,40.7,55.2
25,41.8,42.0,62.3,44.5
26,51.7,64.7,58.8,43.0
27,32.7,47.2,47.7,69.0
28,55.6,41.8,71.8,38.6
29,41.0,67.8,59.1,29.3
30,45.6,85.4,26.4,39.9
31,41.0,56.8,61.9,83.1
32,77.8,62.5,26.2,74.6
33,49.8,72.8,52.2,14.2
34,34.1,44.6,72.5,43.5
35,62.3,50.4,43.9,57.7
36,31.7,31.3,75.7,55.4
37,53.1,59.2,46.4,57.5
38,20.6,35.3,67.3,42.6
39,30.1,65.8,73.4,73.9
40,53.0,40.4,49.0,40.8
41,61.1,54.9,54.3,58.8
42,52.6,46.9,78.5,17.4
43,48.3,74.0,46.1,47.2
44,45.5,78.7,29.3,53.9
45,27.8,59.0,49.4,36.0
46,39.2,43.3,40.7,33.7
47,43.1,67.3,72.6,60.3
48,65.9,69.4,51.6,28.4
49,55.2,27.4,49.3,43.5
50,23.6,58.0,59.3,49.7
51,54.9,59.0,54.0,51.3
52,44.2,44.5,49.7,55.6
53,39.8,46.1,56.0,56.9
54,59.2,33.4,48.9,49.6
55,65.5,57.3,42.1,55.4
56,64.0,36.6,33.3,54.4
57,37.4,60.6,52.2,65.5
58,45.4,54.4,27.9,58.0
59,55.0,29.6,43.1,53.1
60,64.6,41.7,31.2,41.5
61,42.8,71.2,61.6,46.0
62,47.2,35.4,44.4,63.0
63,33.4,39.1,27.4,56.7
64,32.1,49.6,35.1,16.3
65,62.2,63.7,67.1,50.1
66,70.3,47.6,51.4,37.2
67,48.9,28.5,47.3,36.6
68,65.1,67.2,65.8,29.3
69,55.4,86.7,37.5,88.3
70,40.3,45.5,66.7,43.2
71,55.4,61.9,49.9,43.5
72,73.1,37.7,44.3,80.7
73,49.5,68.7,68.1,62.3
74,73.5,69.5,42.7,50.7
75,10.7,61.6,61.3,51.3
76,62.3,63.1,34.3,43.4
77,51.3,67.0,37.1,40.4
78,45.5,51.1,23.1,38.3
79,51.4,18.6,36.6,27.3
80,20.2,48.7,60.4,36.4
81,46.7,40.2,30.8,79.8
82,55.4,44.5,45.4,34.6
83,72.2,55.9,66.1,62.6
84,42.2,55.1,48.6,46.1
85,37.9,29.5,28.2,62.9
86,42.5,60.4,72.3,66.6
87,63.7,49.9,61.0,35.4
88,54.9,64.1,40.9,58.9
89,42.1,54.7,58.7,55.5
90,57.7,55.8,84.6,12.6
91,51.5,44.1,0.0,33.4
92,64.5,61.3,36.3,37.5
93,39.5,60.5,48.9,65.9
94,45.1,53.9,27.7,27.5
95,44.1,56.1,55.8,75.6
96,28.0,56.4,69.4,46.6
97,54.4,50.8,54.6,20.5
98,53.9,36.8,23.8,42.7
99,50.1,34.1,58.9,50.2
100,46.5,42.1,52.5,53.9
101,28.8,73.0,33.8,84.6
102,43.7,67.5,60.9,60.7
103,44.9,63.6,48.1,27.2
104,38.0,23.8,31.2,17.5
105,47.6,58.9,36.1,57.3
106,56.1,63.3,59.2,30.4
107,78.3,55.1,61.4,47.9
108,52.6,57.2,56.0,47.8
109,53.9,58.5,47.6,61.6
110,48.9,56.5,35.0,42.3
111,21.2,52.7,24.5,36.1
112,49.6,36.6,31.6,16.6
113,50.9,47.6,48.0,66.9
114,86.9,20.8,42.6,37.4
115,47.1,44.3,75.9,45.9
116,54.5,61.8,21.4,58.5
117,49.5,33.4,42.9,60.7
118,32.5,37.5,35.0,58.1
119,67.1,30.3,83.5,66.4
120,61.3,83.1,28.9,47.3
121,61.9,67.7,61.2,50.3
122,36.4,43.4,32.4,62.6
123,71.0,87.0,42.6,65.8
124,29.0,68.6,48.7,41.3
125,58.8,65.6,24.9,38.4
126,82.9,49.0,64.8,73.3
127,35.1,61.0,66.5,59.0
128,41.5,62.1,54.5,57.4
129,51.5,29.9,57.4,57.9
130,42.4,54.8,63.9,70.7
131,26.7,48.8,45.0,50.7
132,51.0,50.4,40.4,55.3
133,34.1,63.1,51.2,51.3
134,57.1,70.1,48.0,35.5
135,36.2,31.9,29.0,60.0
136,73.2,37.5,64.5,43.0
137,38.3,47.3,48.7,51.1
138,45.2,64.9,64.6,81.2
139,62.2,42.7,58.7,76.9
140,31.5,36.1,55.6,70.3
141,53.4,54.8,79.0,56.4
142,69.6,18.2,71.2,33.3
143,25.9,51.2,7.9,49.2
144,52.8,84.5,43.1,66.0
145,53.9,56.8,45.7,62.3
146,61.7,38.1,48.0,49.7
147,31.4,51.5,68.1,43.0
148,30.2,38.9,57.4,53.2
149,57.8,30.8,51.8,45.1
150,54.5,44.3,52.4,55.2
151,53.8,38.0,44.9,40.4
152,55.2,70.7,38.6,70.3
153,39.8,78.6,68.8,87.7
154,53.5,48.3,40.0,44.3
155,54.4,44.6,47.6,49.8
156,39.3,55.3,35.9,17.1
157,78.0,39.1,57.8,34.7
158,57.1,47.2,75.4,63.1
159,32.1,50.9,49.0,38.2
160,59.8,38.9,52.5,32.7
161,35.4,32.7,39.0,44.9
162,61.8,54.8,36.2,34.2
163,67.4,56.4,45.6,46.8
164,37.7,35.9,28.7,44.9
165,64.5,57.0,36.2,46.9
166,56.2,46.4,57.6,47.0
167,62.3,43.1,52.8,32.5
168,78.5,23.3,38.8,51.7
169,46.3,60.4,30.9,76.4
170,38.7,45.9,54.6,38.6
171,36.7,46.7,49.4,69.3
172,37.8,58.8,44.6,32.1
173,48.8,70.5,68.1,54.7
174,55.1,42.5,57.3,42.6
175,54.2,52.7,87.7,45.3
176,62.4,75.1,38.1,43.9
177,50.2,54.6,52.1,64.7
178,71.8,45.9,36.9,77.7
179,46.0,77.3,45.7,68.7
180,90.8,30.5,62.9,17.6
181,59.4,54.5,30.9,50.3
182,37.1,43.0,29.3,30.1
183,33.9,59.2,57.8,35.3
184,57.2,57.4,59.2,49.3
185,46.6,0.0,68.9,68.0
186,60.7,65.5,43.2,39.8
187,57.1,55.0,55.1,64.1
188,48.9,72.6,51.9,48.4
189,37.3,35.1,41.0,49.3
190,27.3,46.3,49.8,50.9
191,43.3,62.0,53.1,65.9
192,62.8,48.3,31.1,81.1
193,53.2,49.2,46.5,42.8
194,31.3,10.8,63.1,34.6
195,52.6,46.8,53.8,45.7
196,55.8,70.5,43.8,32.2
197,36.7,61.4,40.7,39.7
198,52.3,50.6,65.3,23.7
199,50.9,35.0,41.1,69.3
200,32.9,47.0,66.4,49.9
201,55.4,24.2,28.2,62.9
202,58.4,64.0,80.3,38.4
203,66.2,60.0,65.5,69.1
204,65.8,46.2,63.9,51.6
